product_url,product_name,product_rating,actual_price,discount_price
https://www.cdiscount.com/bricolage/climatisation/rowenta-pu6080f0-intense-pure-air-connect-xl-purif/f-166130303-row3121047260800.html,"ROWENTA PU6080F0 Intense Pure Air
                                            Connect XL Purificateur d'air, Filtre jusqu'à 100% des
                                            allergènes + particules fines, Connectivité",7,"314,63",n/a
https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-pour-bureau-domicile-rovacs-rv3/f-166130303-auc8087008083107.html,"Purificateur d'air pour
                                            bureau/domicile ROVACS RV320 avec Filtres H13 HEPA, Purification de
                                            l'air à haute efficacité avec Télécomman",1,"49,99","339,00 "
https://www.cdiscount.com/bricolage/climatisation/ventile-purifie-et-elimine-99-97-des-allergenes/f-166130303-auc3770016329576.html,"Ventilateur - 3 en 1 : Ventile, purifie,
                                            ionise - IRUKA",3,"229,90","299,00 "
https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-4-en-1-ventile-chauffe-pu/f-166130303-auc3770016329583.html,"Purificateur d'air - 4 en 1 :
                                            Ventile, chauffe, purifie, ionise - IGIRI",1,"254,90","329,90 "
https://comeonplace.com/fr/produitssponsorises,"cartouche purificatrice
                                            FLUID'O",1,"254,90","329,90 "
https://www.cdiscount.com/bricolage/climatisation/rowenta-traitement-de-l-air-purificateur-d-air-ve/f-166130303-row3121040081280.html,"ROWENTA QU5030F0 Eclipse Purificateur
                                            ventilateur 2 en 1, 12 vitesses, Rafraîchissement intense, Silencieux,
                                            Multi-oscillations",11,"249,99","449,99 "
https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-generateur-d-ions-negatifs-oc/f-166130303-ocearpur45.html,"Purificateur d'air -
                                            Générateur d'ions négatifs OCEANIC - 45W - Filtre HEPA -
                                            Affichage digital - Télécommande",8,"73,99",n/a
https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-rovacs-pour-la-maison-veritabl/f-166130303-auc7084777568201.html,"Purificateur d'air ROVACS pour la
                                            maison, véritable filtre HEPA pour grandes pièces jusqu'à
                                            710 pieds carrés, 99,97% purificateur d'",18,"69,99","269,99 "
https://www.cdiscount.com/bricolage/climatisation/rovacs-purificateur-d-air-filtre-h13-true-hepa-el/f-166130303-rov8260128929580.html,"ROVACS Purificateur d'Air，Filtre H13
                                            True HEPA, Elimine 99,97 % , 28 dB Mode Veille Silencieux Jusqu'à
                                            40 m², CADR 340 m³/h",6,"49,99","449,00 "
https://comeonplace.com/fr/produitssponsorises,"Purificateur d'air VAP1 Smart Air
                                            Purifier (HomeKit, Alexa, Google)",6,"49,99","449,00 "
https://comeonplace.com/fr/produitssponsorises,"Nidouillet le Filtre HEPA de
                                            Purificateur d'air haute efficacité AB100",8,"19,99",n/a
https://comeonplace.com/fr/produitssponsorises,"Purificateur d'air pour
                                            bureau/domicile ROVACS RV320 avec Filtres H13 HEPA, Purification de
                                            l'air à haute efficacité avec Télécomman",1,"49,99","339,00 "
https://www.cdiscount.com/destockage/destockage-electromenager/archos-purificateur-d-air-15-un-2eme-filtres-est/f-1250908-occ4zrqml76jo0k.html,"ARCHOS Purificateur d’air 15 + un
                                            2ème filtres est offert - capture 99,97% des particules – filtration
                                            jusqu'à 85 m³/h",1,"49,99","339,00 "
https://www.cdiscount.com/bricolage/climatisation/xiaomi-air-purificateur-4-debit-d-air-pur-400m3/f-166130303-xia6934177744761.html,"XIAOMI Air purificateur 4 - Débit
                                            d'air pur 400m3/h - Surface max 48m2 - Élimine 99,97 % des
                                            particules de moins de 0,3 micron",1,"49,99","339,00 "
https://www.cdiscount.com/bricolage/climatisation/proscenic-a8-purificateur-d-air-silencieux-avec/f-166130303-pro6924843204064.html,"PROSCENIC A8 - Purificateur d'air
                                            silencieux avec Filtre HEPA H13 - Haute Efficacité - Idéal contre
                                            Poussière, Pollen et Gaz Nocifs",12,"69,99","209,00 "
https://www.cdiscount.com/bricolage/climatisation/proscenic-a9-purificateur-d-air-connecte-4-fil/f-166130303-pro6924843205047.html,"PROSCENIC A9 - Purificateur d'air
                                            connecté - 4 Filtres HEPA - Idéal contre Allergènes, Pollen,
                                            et Gaz Nocifs - Bluetooth",21,"109,99","399,00 "
https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-anion-maison-chambre-vrai-filtr/f-166130303-auc8785349843212.html,"Purificateur d'Air Anion Maison
                                            Chambre Vrai Filtre HEPA H11 Vitesses et 2/4/6/8H Minuterie Éliminateur
                                            d’Odeurs Fumée Allergènes",17,"68,39","89,59 "
https://www.cdiscount.com/bricolage/climatisation/xiaomi-purificateur-air-pro-h-controle-app-particu/f-166130303-xia6934177720604.html,"Xiaomi Purificateur Air Pro H
                                            Contrôle APP Particules CADR Nettoyeur Intelligent",2,"228,99",n/a
https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-3-vitesses-110w-740m3-h-schep/f-1661303-sch4046664129561.html,"Purificateur d'air 3 vitesses 110W
                                            740m³/h - SCHEPPACH HDA-14",2,"228,99",n/a
